Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
6549-BTYPG,Female,19,Yes,0,Sebastopol,95472,38.398815,-122.861923,5,60,,No,,,Yes,DSL,69.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,60.8,3603.45,0.0,0,0.0,3603.45,Stayed,,
1215-VFYVK,Female,19,No,0,Groveland,95321,37.902968,-119.667544,0,4,Offer E,No,,,Yes,Cable,30.0,Yes,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,No,Mailed Check,48.25,202.25,0.0,10,0.0,212.25,Stayed,,
7310-EGVHZ,Male,35,No,0,Los Angeles,90036,34.070291,-118.349191,0,1,Offer E,Yes,24.48,No,No,,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,20.2,20.2,0.0,0,24.48,44.68,Joined,,
4741-WWJQZ,Female,49,Yes,0,Forestville,95436,38.499302,-122.92444,0,2,Offer E,Yes,26.58,No,Yes,Fiber Optic,23.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.15,194.55,0.0,0,53.16,247.71,Joined,,
0178-SZBHO,Male,54,Yes,1,Tuolumne,95379,37.939768,-120.188002,7,47,,Yes,1.09,Yes,Yes,Fiber Optic,13.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2,4017.45,0.0,0,51.23,4068.68,Stayed,,
8909-BOLNL,Male,40,No,0,San Francisco,94123,37.800254,-122.436975,0,3,,Yes,12.05,No,No,,,,,,,,,,,One Year,No,Credit Card,21.2,52.05,0.0,0,36.15,88.2,Joined,,
1587-FKLZB,Male,79,Yes,0,Santa Barbara,93101,34.419203,-119.710008,1,66,Offer A,Yes,28.86,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,99.5,6822.15,0.0,0,1904.76,8726.91,Churned,Competitor,Competitor had better devices
2541-YGPKE,Male,29,Yes,3,Lemon Cove,93244,36.462671,-118.997291,10,42,,Yes,44.95,No,Yes,DSL,69.0,Yes,No,No,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,63.7,2763.35,0.0,0,1887.9,4651.25,Stayed,,
9189-JWSHV,Female,69,Yes,0,Helm,93627,36.520537,-120.118055,1,24,,Yes,13.38,Yes,Yes,Fiber Optic,12.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.55,2264.05,0.0,0,321.12,2585.17,Churned,Price,Price too high
9027-TMATR,Female,42,Yes,0,Warner Springs,92086,33.323705,-116.626907,1,43,,Yes,38.53,No,Yes,DSL,27.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,78.8,3460.3,24.9,0,1656.79,5092.19,Stayed,,
2729-VNVAP,Female,35,Yes,1,Vallejo,94590,38.104705,-122.247387,0,33,,Yes,12.51,No,No,,,,,,,,,,,Two Year,No,Credit Card,19.8,641.35,0.0,0,412.83,1054.18,Stayed,,
4915-BFSXL,Male,49,Yes,1,Mount Hermon,95041,37.051166,-122.056194,9,70,Offer A,Yes,22.67,Yes,Yes,DSL,29.0,Yes,No,Yes,No,Yes,No,No,Yes,Two Year,No,Credit Card,68.95,4858.7,0.0,0,1586.9,6445.6,Stayed,,
3308-MHOOC,Male,37,No,3,Scotia,95565,40.440636,-124.098739,0,1,,Yes,17.89,No,No,,,,,,,,,,,Month-to-Month,Yes,Credit Card,19.2,19.2,0.0,0,17.89,37.09,Joined,,
8750-QWZAJ,Female,38,Yes,2,Orange,92867,33.81859,-117.821288,1,70,Offer A,Yes,48.44,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,19.8,1378.75,0.0,0,3390.8,4769.55,Stayed,,
3878-AVSOQ,Female,68,No,0,La Jolla,92037,32.853743,-117.25034,0,1,,Yes,17.6,No,Yes,Fiber Optic,2.0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,71.25,71.25,0.0,10,17.6,98.85,Joined,,
1027-LKKQQ,Female,35,Yes,3,Plymouth,95669,38.489273,-120.891614,3,72,,Yes,12.96,No,Yes,DSL,56.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,80.45,5886.85,0.0,0,933.12,6819.97,Stayed,,
2190-BCXEC,Female,61,Yes,0,Death Valley,92328,36.27688,-117.033326,10,40,,Yes,39.97,Yes,Yes,Fiber Optic,17.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,78.85,3126.85,0.0,0,1598.8,4725.65,Stayed,,
1702-CCFNJ,Male,39,Yes,0,Los Angeles,90077,34.102084,-118.451629,3,52,,Yes,44.65,Yes,Yes,Cable,3.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,61.35,3169.55,0.0,0,2321.8,5491.35,Stayed,,
4335-UPJSI,Female,57,No,1,Aguanga,92536,33.482243,-116.827173,0,24,,Yes,34.24,No,No,,,,,,,,,,,Two Year,No,Mailed Check,19.75,498.1,0.0,0,821.76,1319.86,Stayed,,
9986-BONCE,Female,36,No,0,Fallbrook,92028,33.362575,-117.299644,0,4,,Yes,2.01,No,No,,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,20.95,85.5,0.0,0,8.04,93.54,Churned,Competitor,Competitor made better offer
6551-ZCOTS,Male,73,No,0,Torrance,90503,33.840399,-118.353714,0,33,Offer C,Yes,3.15,Yes,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,24.9,847.8,0.0,0,103.95,951.75,Stayed,,
8652-YHIYU,Female,30,No,3,San Jose,95125,37.294926,-121.894763,0,16,Offer D,Yes,27.23,Yes,Yes,Fiber Optic,69.0,No,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,79.5,1264.2,0.0,0,435.68,1699.88,Stayed,,
6198-RTPMF,Female,46,Yes,0,Oregon House,95962,39.342587,-121.249833,10,17,Offer D,Yes,9.22,Yes,Yes,Fiber Optic,13.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,92.6,1579.7,0.0,0,156.74,1736.44,Stayed,,
2419-FSORS,Male,29,Yes,0,Salinas,93906,36.722898,-121.633648,8,72,Offer A,Yes,10.68,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.4,7719.5,0.0,0,768.96,8488.46,Stayed,,
2001-MCUUW,Male,51,No,0,Corona,92879,33.893823,-117.531446,0,46,,Yes,37.5,Yes,Yes,Fiber Optic,22.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,108.65,4903.2,0.0,0,1725.0,6628.2,Stayed,,
6127-IYJOZ,Male,71,No,0,Studio City,91604,34.139082,-118.39275,0,1,,Yes,40.38,No,Yes,DSL,6.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.85,45.85,0.0,0,40.38,86.23,Joined,,
8665-UTDHZ,Male,27,Yes,0,Los Angeles,90029,34.089953,-118.294824,1,1,,No,,,Yes,DSL,58.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.2,30.2,0.0,0,0.0,30.2,Churned,Competitor,Competitor had better devices
4092-OFQZS,Male,27,Yes,0,Manhattan Beach,90266,33.889632,-118.39737,8,20,Offer D,Yes,46.47,No,No,,,,,,,,,,,One Year,No,Credit Card,20.65,417.5,0.0,0,929.4,1346.9,Stayed,,
1577-HKTFG,Female,42,Yes,0,Elk Grove,95624,38.434138,-121.30587,1,30,,Yes,15.36,No,No,,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,19.65,655.85,0.0,0,460.8,1116.65,Churned,Attitude,Attitude of support person
0285-INHLN,Male,54,Yes,6,Badger,93603,36.64545,-118.924982,5,27,,Yes,36.19,No,Yes,DSL,53.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,54.75,1510.3,0.0,0,977.13,2487.43,Stayed,,
7823-JSOAG,Male,39,No,0,Sonoma,95476,38.25485,-122.461799,0,3,,Yes,6.97,Yes,Yes,Fiber Optic,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,74.5,217.45,0.0,0,20.91,238.36,Joined,,
6769-DCQLI,Male,21,No,0,Pope Valley,94567,38.672708,-122.403219,0,52,,Yes,49.29,No,Yes,Fiber Optic,51.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.0,5426.85,0.0,0,2563.08,7989.93,Churned,Other,Don't know
9391-LMANN,Male,38,No,3,Pico Rivera,90660,33.989524,-118.089299,0,53,Offer B,Yes,33.74,No,Yes,Fiber Optic,56.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,95.95,5036.9,0.0,0,1788.22,6825.12,Stayed,,
0581-BXBUB,Female,76,No,0,Penn Valley,95946,39.203817,-121.19584,0,4,,Yes,35.67,No,Yes,Fiber Optic,8.0,No,Yes,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,72.75,317.75,0.0,0,142.68,460.43,Stayed,,
8474-UMLNT,Female,36,No,0,Fresno,93710,36.822715,-119.761826,0,13,Offer D,Yes,28.45,No,Yes,DSL,30.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,67.8,842.25,0.0,0,369.85,1212.1,Stayed,,
4452-ROHMO,Female,64,No,0,San Diego,92128,33.000269,-117.072093,0,15,Offer D,Yes,39.49,No,No,,,,,,,,,,,Two Year,No,Credit Card,19.6,331.6,0.0,0,592.35,923.95,Stayed,,
2654-VBVPB,Female,22,No,0,Newport Beach,92663,33.62251,-117.927024,0,1,,Yes,11.83,No,No,,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,19.9,19.9,0.0,0,11.83,31.73,Joined,,
1567-DSCIC,Male,59,No,0,San Mateo,94401,37.590421,-122.306467,0,8,,Yes,23.89,Yes,Yes,Fiber Optic,14.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.0,773.65,0.0,0,191.12,964.77,Churned,Dissatisfaction,Product dissatisfaction
3768-VHXQO,Male,19,Yes,0,Redondo Beach,90278,33.873395,-118.37019,9,67,Offer A,Yes,3.28,Yes,No,,,,,,,,,,,Two Year,No,Credit Card,24.85,1583.5,0.0,0,219.76,1803.26,Stayed,,
3096-WPXBT,Female,60,Yes,1,Venice,90291,33.991782,-118.479229,5,61,Offer B,Yes,18.26,Yes,Yes,Fiber Optic,19.0,Yes,Yes,Yes,No,No,Yes,Yes,No,One Year,Yes,Credit Card,100.7,6018.65,0.0,90,1113.86,7222.51,Stayed,,
5445-UTODQ,Female,35,Yes,0,San Diego,92117,32.825086,-117.199424,1,7,,Yes,11.58,No,Yes,Fiber Optic,27.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.1,576.65,0.0,0,81.06,657.71,Churned,Competitor,Competitor made better offer
1960-UOTYM,Male,61,Yes,2,Lakewood,90712,33.840524,-118.148403,5,52,,Yes,16.53,No,Yes,DSL,12.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,79.2,4016.3,0.0,0,859.56,4875.86,Stayed,,
4654-GGUII,Female,28,No,0,Smartville,95977,39.176595,-121.291692,0,18,,No,,,Yes,DSL,48.0,Yes,Yes,No,Yes,No,No,No,No,One Year,Yes,Credit Card,-5.0,711.95,0.0,90,0.0,801.95,Stayed,,
4853-RULSV,Male,25,No,0,Miramonte,93641,36.696759,-119.024051,0,70,Offer A,Yes,12.19,Yes,Yes,Fiber Optic,42.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,104.0,7250.15,0.0,0,853.3,8103.45,Churned,Attitude,Attitude of service provider
5170-PTRKA,Female,19,Yes,0,Atherton,94027,37.454924,-122.203168,1,49,,No,,,Yes,Cable,82.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.8,1782.0,0.0,0,0.0,1782.0,Stayed,,
4981-FLTMF,Female,35,Yes,1,Springville,93265,36.245926,-118.693138,3,57,,Yes,1.54,Yes,Yes,DSL,15.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,65.2,3687.85,0.0,0,87.78,3775.63,Stayed,,
3115-JPJDD,Female,43,Yes,0,Ventura,93003,34.279221,-119.221437,1,59,,Yes,29.6,No,Yes,Fiber Optic,12.0,Yes,No,Yes,No,No,No,No,Yes,One Year,Yes,Credit Card,81.25,4639.45,0.0,0,1746.4,6385.85,Stayed,,
5092-STPKP,Female,45,No,0,Platina,96076,40.367964,-122.937379,0,24,,Yes,30.18,No,Yes,DSL,4.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,56.35,1381.2,0.0,0,724.32,2105.52,Stayed,,
6839-ITVZJ,Female,35,Yes,0,Los Angeles,90037,34.002642,-118.287596,1,26,,Yes,22.33,Yes,Yes,DSL,13.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1616.15,0.0,0,580.58,2196.73,Churned,Other,Don't know
2038-YSEZE,Female,48,No,0,Los Angeles,90046,34.108455,-118.362081,0,29,Offer C,Yes,13.74,Yes,Yes,DSL,2.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,67.45,1801.1,0.0,0,398.46,2199.56,Stayed,,
3627-FHKBK,Female,28,No,0,Anaheim,92806,33.83796,-117.870494,0,1,,Yes,4.13,No,Yes,Fiber Optic,51.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,75.3,75.3,0.0,0,4.13,79.43,Churned,Competitor,Competitor had better devices
5510-BOIUJ,Male,35,No,7,Visalia,93277,36.303793,-119.375646,0,1,,Yes,12.81,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.25,19.25,0.0,0,12.81,32.06,Churned,Attitude,Attitude of service provider
4311-QTTAI,Female,63,No,0,Van Nuys,91411,34.17847,-118.459472,0,16,,Yes,40.95,No,No,,,,,,,,,,,One Year,No,Credit Card,19.35,295.55,0.0,0,655.2,950.75,Stayed,,
9430-FRQOC,Female,33,No,0,San Diego,92117,32.825086,-117.199424,0,4,,Yes,32.46,Yes,Yes,Fiber Optic,3.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,87.1,341.45,0.0,0,129.84,471.29,Churned,Competitor,Competitor made better offer
0480-BIXDE,Female,58,Yes,0,Beale Afb,95903,39.125311,-121.392283,9,19,Offer D,Yes,10.68,No,Yes,Fiber Optic,23.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,1743.05,0.0,0,202.92,1945.97,Stayed,,
1089-XZWHH,Female,43,Yes,3,Lee Vining,93541,37.890145,-119.184087,5,24,,Yes,46.3,No,No,,,,,,,,,,,Two Year,Yes,Credit Card,19.7,494.05,0.0,0,1111.2,1605.25,Stayed,,
1696-HXOWK,Female,53,Yes,0,Riverside,92506,33.930931,-117.361788,6,71,Offer A,Yes,5.22,Yes,Yes,Fiber Optic,10.0,Yes,Yes,No,No,Yes,No,No,Yes,One Year,No,Credit Card,95.65,6856.95,0.0,0,370.62,7227.57,Stayed,,
1751-NCDLI,Male,74,Yes,0,Castroville,95012,36.784481,-121.759054,6,46,,Yes,4.2,Yes,Yes,Fiber Optic,22.0,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,98.85,4564.9,0.0,0,193.2,4758.1,Stayed,,
4135-FRWKJ,Female,66,Yes,1,Santa Monica,90404,34.026334,-118.474222,1,55,,Yes,34.57,Yes,Yes,Cable,19.0,Yes,No,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,76.25,4154.55,0.0,0,1901.35,6055.9,Stayed,,
6115-ZTBFQ,Female,56,Yes,0,Alamo,94507,37.855717,-121.994813,6,72,,No,,,Yes,DSL,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,65.5,4919.7,0.0,0,0.0,4919.7,Stayed,,
3680-CTHUH,Male,22,No,0,Kneeland,95549,40.664483,-123.865325,0,60,,Yes,44.24,Yes,Yes,Fiber Optic,52.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,116.6,7049.5,0.0,0,2654.4,9703.9,Stayed,,
4255-DDUOU,Female,47,Yes,3,Casmalia,93429,34.866032,-120.536546,0,1,,Yes,34.57,No,No,,,,,,,,,,,Month-to-Month,Yes,Mailed Check,20.5,20.5,0.0,0,34.57,55.07,Churned,Price,Long distance charges
3801-HMYNL,Male,44,Yes,0,Brooks,95606,38.809804,-122.241383,1,1,,Yes,32.35,No,Yes,Fiber Optic,18.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Mailed Check,89.15,89.15,0.0,0,32.35,121.5,Churned,Competitor,Competitor had better devices
0060-FUALY,Female,60,Yes,0,Los Angeles,90003,33.964131,-118.272783,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,Stayed,,
2621-UDNLU,Female,35,Yes,0,San Francisco,94107,37.768881,-122.395521,9,3,,Yes,11.77,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.85,72.0,0.0,0,35.31,107.31,Joined,,
1976-CFOCS,Female,69,Yes,0,Dana Point,92629,33.477923,-117.705314,1,1,,Yes,7.74,No,Yes,DSL,19.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,46.0,46.0,0.0,0,7.74,53.74,Churned,Competitor,Competitor had better devices
8414-MYSHR,Male,79,No,0,Arcadia,91007,34.128284,-118.047732,0,5,,Yes,4.59,No,Yes,Fiber Optic,11.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91.4,449.75,0.0,0,22.95,472.7,Churned,Dissatisfaction,Network reliability
3685-YLCMQ,Male,34,No,0,Dobbins,95935,39.381174,-121.21191,0,58,Offer B,Yes,41.14,Yes,Yes,Fiber Optic,25.0,No,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,104.65,6219.6,0.0,40,2386.12,8645.72,Churned,Dissatisfaction,Service dissatisfaction
4548-SDBKE,Female,26,No,0,San Dimas,91773,34.102119,-117.815532,0,5,Offer E,Yes,34.49,Yes,Yes,Fiber Optic,46.0,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.2,474.8,0.0,0,172.45,647.25,Churned,Attitude,Attitude of service provider
3750-YHRYO,Male,64,Yes,0,Glendora,91741,34.14649,-117.849815,1,7,,Yes,21.09,No,No,,,,,,,,,,,One Year,No,Mailed Check,20.65,150.0,0.0,0,147.63,297.63,Stayed,,
6295-OSINB,Male,20,Yes,0,Samoa,95564,40.809636,-124.189977,2,72,Offer A,Yes,6.89,Yes,Yes,Fiber Optic,73.0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,109.65,7880.25,0.0,10,496.08,8386.33,Stayed,,
0991-BRRFB,Male,31,No,0,Corona,92883,33.762351,-117.488725,0,18,,Yes,20.86,No,Yes,DSL,3.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.4,874.8,0.0,0,375.48,1250.28,Churned,Other,Deceased
7634-HLQJR,Female,52,Yes,1,Moss Landing,95039,36.863303,-121.781632,1,47,,Yes,1.44,No,No,,,,,,,,,,,Two Year,No,Credit Card,20.05,1016.7,0.0,0,67.68,1084.38,Stayed,,
7113-HIPFI,Male,59,Yes,2,Long Beach,90806,33.802664,-118.179971,10,66,Offer A,Yes,26.91,No,Yes,Cable,30.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,65.85,4097.05,0.0,0,1776.06,5873.11,Stayed,,
9500-LTVBP,Female,63,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,35,Offer C,Yes,13.14,Yes,Yes,Fiber Optic,6.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,80.05,2835.9,0.0,0,459.9,3295.8,Stayed,,
0786-VSSUD,Male,68,No,0,San Diego,92123,32.808814,-117.134694,0,16,,No,,,Yes,DSL,24.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,39.0,679.85,0.0,0,0.0,679.85,Churned,Competitor,Competitor had better devices
8747-UDCOI,Female,29,Yes,0,Sun City,92587,33.69887,-117.25071,7,65,Offer B,Yes,48.66,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,19.35,1319.95,0.0,0,3162.9,4482.85,Stayed,,
0362-RAOQO,Female,48,No,0,Norco,92860,33.925833,-117.559639,0,40,,Yes,26.03,No,No,,,,,,,,,,,Two Year,No,Credit Card,19.65,830.25,0.0,0,1041.2,1871.45,Stayed,,
2040-VZIKE,Female,56,Yes,0,Stevinson,95374,37.316807,-120.855753,3,49,,Yes,44.81,Yes,Yes,Fiber Optic,10.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,100.85,4847.35,0.0,0,2195.69,7043.04,Stayed,,
1084-UQCHV,Male,35,No,0,Angelus Oaks,92305,34.1678,-116.86433,0,1,Offer E,Yes,27.97,No,Yes,Fiber Optic,18.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,-7.0,69.75,0.0,0,27.97,97.72,Churned,Attitude,Attitude of support person
5348-CAGXB,Male,60,No,0,Irvine,92614,33.680302,-117.833296,0,12,Offer D,Yes,33.36,Yes,Yes,Fiber Optic,22.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.55,1021.75,0.0,0,400.32,1422.07,Stayed,,
